id,username,type,date,title,text,rating,helpfulness,total_points,taObject,taObjectUrl,taObjectCity,kmean
11432,Back_to_Sandringham,Hotels,7/4/2015,High-end hotel with few faults,"This was my first stay at the ANA Intercontinental, and I have only positive things to say. The service was efficient, the room had all the necessary comforts, and the large outdoor swimming pool (big enough for proper length training if you are so inclined) is a particular bonus. I only walked past the gym, and it looked good. The buffet restaurant was very good at breakfast. I will certainly consider staying again.",5,2,102,ANA InterContinental Tokyo,http://www.tripadvisor.com/Hotel_Review-g1066451-d300459-Reviews-ANA_InterContinental_Tokyo-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,Minato,0
998,2093,Hotels,7/7/2013,Favourite little hotel in Melbourne,"This is a repeat review and about the 4th time I&acute;ve stayed here.  It&acute;s always tough when going to Melbourne whether to stay here, because I really like it, or whether to stay at one of the Hyatt&acute;s where I am part of the guest program and my work gets a discount. I split it 50-50 if on business, but always opt to stay here if on leisure (and will be doing so later this month).  It really is a delightful hotel; impeccably clean; very comfortable rooms; great mini-bar (especially the giant freckles!); fantastic coffee shop; nice restaurant; well-located right on the tram line into the city; and some lovely &acute;added extra&acute; touches.  If you don&acute;t like big hotel 5-star &acute;sameness&acute; and stuffiness, but want something a bit special, definitely stay here.",5,0,100,Art Series - The Blackman,http://www.tripadvisor.com/Hotel_Review-g255100-d1528419-Reviews-Art_Series_The_Blackman-Melbourne_Victoria.html,Melbourne,0
1024,2093,Hotels,6/28/2012,Really enjoyable!,"I had an enjoyable two nights at The Blackman. The room was really comfortable and spacious; it was spotlessly clean; the bed was good (but a bit soft); and the place just has a nice feel about it. Like another reviewer here, the staff were variable but even the less than friendly ones were efficient (other than at breakfast - see below). I particularly loved the Smart Car hire on the hour - very handy, and much cheaper than a taxi. The bistro/restaurant is worthy of a mention: the fresh fish meals I had were both delicious and, of course, the location is one of the nicest areas in Melbourne.  It was a bit overwhelming with a conference or workshop on both days, with attendees swarming all over the breakfast rooms at the same time and taking up the lifts. In fact, the breakfast was one of the big drawbacks. I made the mistake of going to the small coffee shop instead of the bistro: it was slow (took 20 minutes just for the order to be taken), understaffed and, after 40 minutes more waiting, I couldn&acute;t wait any longer for my bread and jam and had to leave.",5,1,101,Art Series - The Blackman,http://www.tripadvisor.com/Hotel_Review-g255100-d1528419-Reviews-Art_Series_The_Blackman-Melbourne_Victoria.html,Melbourne,0
9211,Arthur010,Restaurants,7/24/2015,"Amazing atmosphere, fresh food for a nice outdoor evening in Summer","Think of tapas style food, delicious treats, and cool atmosphere. It is all about seating on the outdoor esplanade and enjoy the nice warm evenings in Boston (summer only). The food and wine selection are above average and clientele is a cool mix of Boston Ivy league types and some hipsters",5,0,100,Barcelona,http://www.tripadvisor.com/Restaurant_Review-g60745-d7270210-Reviews-Barcelona-Boston_Massachusetts.html,Boston,0
9232,Arthur010,Restaurants,9/9/2014,"Excellent atmosphere, beautiful clientele and amazing food","Barcelona Brookline is a little kept secret of the local Bostonians. The clientele on a warm summer night consisted of 30s somethings and good looking people. The most important item was the food and the ambiance, really amazing raw materials, dark colors, cosmopolitan, Euro-chic looking. We had a platter with soft cheese and prosciutto and caponata amazing.!!!!",5,0,100,Barcelona,http://www.tripadvisor.com/Restaurant_Review-g60823-d3746857-Reviews-Barcelona-Brookline_Massachusetts.html,Brookline,0
9248,Arthur010,Attractions,8/2/2014,Much more interesting that 007 movie location,"Can you imagine a cistern built up 2000 years ago just to supply the city in a case of a siege? I recommend going there by late afternoon when you tired of getting exposed to noise, sun or other annyances, you can stay there for a while, meditate, walk around in such misterious setting.",5,0,100,Basilica Cistern,http://www.tripadvisor.com/Attraction_Review-g293974-d294555-Reviews-Basilica_Cistern-Istanbul.html,Istanbul,0
993,2093,Attractions,9/21/2013,Just wow!,"This took my breath away. I didn&acute;t expect to like it from the outside pictures I had seen so many times, but it is just so beautiful and breathtaking inside. Don&acute;t miss it for anything. It is truly special.  Whatever you do, purchase the tickets and the audio guide online beforehand. It saves considerable time queueing, and also get there early.",5,0,100,Basilica of the Sagrada Familia,http://www.tripadvisor.com/Attraction_Review-g187497-d190166-Reviews-Basilica_of_the_Sagrada_Familia-Barcelona_Catalonia.html,Barcelona,0
316,1984travel,Attractions,1/27/2013,Fantastically funny show,Great music and a very talented cast abound in this spectacular production. What really made it extraordinary for my family and I was the wonderful humor throughout. This show is hilarious - definitely worth a visit.,5,1,101,Billy Elliot The Musical,http://www.tripadvisor.com/Attraction_Review-g186338-d1023043-Reviews-Billy_Elliot_The_Musical-London_England.html,London,0
22572,CliffWalker,Attractions,2/19/2012,Essential London,I&acute;ve visited the BM six times over a period of several years; if I lived near enough I would visit the BM at least six times a year. I suppose it would be possible to tire of it eventually but it has to be one of the best free shows on earth (but don&acute;t forget to make a generous donation). To paraphrase the famous doctor: When a man is tired of the British Museum he is tired of life.  If you have time for only one thing in London see the British Museum.,5,1,100,British Museum,http://www.tripadvisor.com/Attraction_Review-g186338-d187555-Reviews-British_Museum-London_England.html,London,0
592,1NicePerson,Hotels,6/3/2014,Continuing to Improve,"I can finally report that cleanliness here is getting a lot of attention. My room was cleaned very well each day, including the bathroom. The grounds and pool are also cleaned to a high standard. Of course this property is about 60 years old and is constantly in need of maintenance. For the price they charge, the upkeep is impressive. John and Chris are great owners and the other staff are also very nice. It&acute;s nice to find a place with a theme such as this that cares about and doesn&acute;t exploit its guests. Of course, while there is action possible here, many guests just come to relax so it&acute;s not quite as active as some of the competitor rip-off resorts. That&acute;s probably a good thing. Breakfast is OK but if you&acute;re looking for fresh squeezed juice and omelets made to order, you&acute;ll have go to a $200 a night resort. Here you get cold cereals, frozen OJ, decent coffee, hard boiled eggs and store bought pastries, bagels and muffins. It all works for me - just like home. And being able to walk to downtown or take the 111 bus is a big plus for the Canyon Club. I don&acute;t even rent a car when I visit here now that the bus runs every 20 minutes during the daytime.",5,2,102,Canyon Club Hotel,http://www.tripadvisor.com/Hotel_Review-g32847-d671758-Reviews-Canyon_Club_Hotel-Palm_Springs_California.html,Palm Springs,0
