username,open,cons,extra,agree,neuro
007solotraveler,0.63272,0.55666,0.5636,0.58108,0.45881
0BKI0,0.64006,0.55189,0.5622,0.57943,0.46188
10179k79,0.66435,0.56099,0.5688,0.58187,0.45011
124_10,0.66003,0.57005,0.57221,0.59019,0.4486
12ReasonsWhy,0.65036,0.55429,0.5651,0.58271,0.45919
14beacon,0.64359,0.56584,0.56965,0.59001,0.45454
150NightsPerYear,0.64723,0.56101,0.56812,0.5868,0.45754
1771,0.6425,0.56661,0.56833,0.58737,0.4563
186402Sarah1984,0.64739,0.55803,0.56643,0.58308,0.45631
1969ws,0.63786,0.56099,0.56748,0.58927,0.45958
1975mark,0.64677,0.55168,0.56126,0.57491,0.46268
19822011,0.64988,0.56369,0.56874,0.58583,0.45308
1984travel,0.65541,0.5623,0.56972,0.58719,0.4505
19Cam,0.64198,0.55524,0.56619,0.58622,0.46087
19katy80,0.6448,0.55656,0.5665,0.58612,0.45836
1Angie,0.64168,0.55672,0.56658,0.58755,0.45987
1KathrynK,0.65033,0.5682,0.57021,0.5865,0.44882
1ManhattanBeach,0.53302,0.461,0.51717,0.5334,0.53638
1NicePerson,0.6547,0.56117,0.56939,0.58548,0.45193
1VAnurse,0.64105,0.56638,0.56915,0.59073,0.456
1Vegas2008,0.64974,0.55777,0.56574,0.58108,0.45854
1happygolucky,0.64429,0.55972,0.56775,0.58965,0.46192
1oldseagull,0.64249,0.56435,0.56671,0.58414,0.45906
2000AtlanticGT,0.6448,0.55186,0.56297,0.5787,0.46457
2008travellover,0.64894,0.55619,0.56583,0.57877,0.45764
2011ChgoWanderer,0.64974,0.55596,0.56484,0.58153,0.4596
2093,0.65093,0.56162,0.56747,0.58341,0.45337
209967Jenny,0.64941,0.55863,0.5673,0.58478,0.45333
2156Michael,0.65127,0.55904,0.56655,0.5826,0.45612
23betty,0.64511,0.55366,0.56423,0.58042,0.46032
23stationroad,0.64325,0.55728,0.56427,0.57839,0.45925
243345,0.63795,0.55325,0.56345,0.58168,0.46433
25YearsAbroad,0.64548,0.55571,0.56779,0.58732,0.45641
29grapes,0.65625,0.56176,0.56698,0.58058,0.4547
2CachePirates,0.6435,0.55426,0.56418,0.58173,0.46176
2FoodJunkies,0.64984,0.55885,0.56732,0.58459,0.45567
2Travelers2go,0.6484,0.55995,0.56835,0.58685,0.45411
2jbsdad,0.65298,0.57247,0.57173,0.58971,0.44559
2tampuh2,0.64847,0.55691,0.56637,0.5853,0.45982
2teeth,0.63742,0.5707,0.56778,0.59039,0.45813
2toots,0.64606,0.56533,0.56923,0.59024,0.45483
30Brooklyn50,0.64173,0.55968,0.56761,0.58714,0.45541
312Seaton,0.64448,0.55622,0.56478,0.58203,0.46125
32369Terry,0.64267,0.56354,0.56812,0.58701,0.45541
3kidsmama,0.65109,0.55914,0.5683,0.58842,0.45753
3love2travel3,0.64949,0.56681,0.57109,0.59143,0.45087
4038,0.63634,0.56082,0.56784,0.59075,0.46306
422,0.64272,0.55374,0.56611,0.58561,0.46018
45Jen,0.6523,0.54881,0.55988,0.56836,0.46402
4959keeton,0.64597,0.5563,0.56733,0.58472,0.45768
4alive,0.65078,0.55221,0.56359,0.57713,0.45949
4bigdogsCalgary,0.64484,0.55967,0.5665,0.58313,0.4575
5264,0.64534,0.55801,0.5646,0.57697,0.45721
5474C,0.65765,0.56013,0.56772,0.58266,0.45392
54Penny,0.63733,0.54347,0.55869,0.57091,0.46821
5Tim5,0.64354,0.55743,0.56483,0.58023,0.45895
5herry,0.62981,0.55165,0.5613,0.57947,0.46674
5hreek,0.65118,0.56438,0.56817,0.58558,0.4528
5x24,0.6472,0.55442,0.56502,0.5809,0.45845
604tinkoo,0.64101,0.5583,0.56599,0.58262,0.46224
6079max,0.64525,0.55715,0.56473,0.57977,0.45966
678855,0.63959,0.55731,0.56596,0.58653,0.46215
6dogs,0.64396,0.56314,0.56734,0.58758,0.4587
74gremlin,0.6496,0.56427,0.56708,0.58356,0.45315
77pearl,0.6471,0.56339,0.56866,0.58662,0.45479
7ContinentsX,0.64954,0.55988,0.56697,0.58412,0.45388
801Milles,0.64321,0.56142,0.56788,0.58936,0.45811
808Couple,0.64074,0.56074,0.56392,0.58383,0.46353
9jajet,0.6478,0.5589,0.56873,0.58874,0.45649
A.Brouwer,0.64814,0.56779,0.57115,0.591,0.45181
A2Mich_Traveler,0.66015,0.56615,0.56931,0.58229,0.45056
AA7482,0.64459,0.55741,0.5666,0.58684,0.4594
AA75,0.64137,0.55404,0.56499,0.5845,0.46324
AACC777,0.64945,0.5606,0.5678,0.58466,0.45334
AAM17,0.64087,0.55342,0.56344,0.58257,0.46508
